Type,Title,Last Visited,Host
Pull Request,Fix Home/End key navigation tests in Header component,2026-02-01T14:44:08Z,github.com
Pull Request,PR Review Summary for 2026-01-31,2026-01-31T10:37:06Z,github.com
Pull Request,PR Review Summary for 2026-01-29,2026-01-30T10:46:33Z,github.com
Pull Request,Sort focusable elements by document order for consistent navigation,2026-01-30T06:16:54Z,github.com
Pull Request,PR Review Summary for 2026-01-29,2026-01-29T10:46:40Z,github.com
Pull Request,[WIP] Fix missing semicolons across the codebase,2026-01-29T04:55:59Z,github.com
Pull Request,Fix SARIF upload to comply with GitHub's July 2025 requirements,2026-02-01T14:45:14Z,github.com
Pull Request,Update PR Review Summary,2026-01-28T10:33:21Z,github.com
Pull Request,Add legacy ESLint configuration for backward compatibility,2026-02-01T15:17:23Z,github.com
Pull Request,"Update PR Review Summary for January 26th, 2026",2026-01-27T20:24:45Z,github.com
Pull Request,"PR Review Summary - July 29th, 2024",2026-01-26T16:24:01Z,github.com
Pull Request,ci: bump github/codeql-action from 4.31.10 to 4.31.11,2026-01-26T16:22:50Z,github.com
Pull Request,chore(deps-dev): bump globals from 17.0.0 to 17.1.0,2026-01-26T16:23:31Z,github.com
Pull Request,chore(deps-dev): bump @vitest/coverage-v8 from 4.0.16 to 4.0.18,2026-01-26T16:24:12Z,github.com
Pull Request,chore(deps-dev): bump @testing-library/react from 16.3.1 to 16.3.2,2026-01-26T16:24:51Z,github.com
Pull Request,chore(deps-dev): bump vitest from 4.0.16 to 4.0.18,2026-01-26T16:25:58Z,github.com
Pull Request,chore(deps): bump @sentry/react from 10.32.1 to 10.36.0,2026-01-26T16:25:18Z,github.com
Pull Request,chore(deps-dev): bump the development-dependencies group across 1 directory with 4 updates,2026-01-26T16:27:23Z,github.com
Pull Request,chore(deps-dev): bump prettier from 3.8.0 to 3.8.1,2026-01-26T16:33:29Z,github.com
Pull Request,chore(deps-dev): bump @playwright/test from 1.57.0 to 1.58.0,2026-01-26T16:31:55Z,github.com
Pull Request,"PR Review Summary - July 26th, 2024",2026-01-29T12:48:29Z,github.com
Pull Request,Fix icon-related test failures in Pricing and Comparison components,2026-01-27T20:23:20Z,github.com
Issue,New tests for the `Pricing` and `Comparison` components,2026-01-27T20:23:20Z,github.com
Pull Request,Fix Codacy ESLint Configuration Issue,2026-02-01T23:38:43Z,github.com
Pull Request,Fix icon query selector issues in tests,2026-01-29T04:44:19Z,github.com
Pull Request,Fix keyboard navigation in Header tests,2026-01-28T14:07:18Z,github.com
Pull Request,fix(tests): update component tests after Icon refactor,2026-02-01T23:48:04Z,github.com
Pull Request,[WIP] Update vitest from 4.0.16 to 4.0.17,2026-01-26T10:03:39Z,github.com
Pull Request,"PR Review Summary - January 20th, 2026",2026-01-29T12:57:14Z,github.com
Pull Request,chore(deps-dev): bump vitest from 4.0.16 to 4.0.17,2026-01-26T10:03:40Z,github.com
Commit,Merge pull request #277 from shazzar00ni/claude/fix-test-coverage-UG2IV,2026-01-30T09:38:11Z,github.com
Commit,Merge main into claude/fix-test-coverage-UG2IV and fix icon mapping,2026-01-29T04:47:34Z,github.com
Commit,Merge pull request #322 from shazzar00ni/claude/fix-security-findings-eL63N,2026-01-28T14:12:12Z,github.com
Commit,Merge pull request #354 from shazzar00ni/claude/fix-header-keyboard-nav-Pz3bf,2026-01-28T14:07:15Z,github.com
Commit,test: improve test coverage and quality,2026-01-28T14:00:53Z,github.com
Commit,Update src/test/iconTestHelpers.ts,2026-01-28T13:57:40Z,github.com
