Type,Title,Last Visited,Host
Pull Request,Restore and Automate Daily PR Audit and Summary Report,2026-05-17T10:24:58Z,github.com
Pull Request,feat: set up React Router v6 infrastructure,2026-05-17T08:50:46Z,github.com
Pull Request,fix(security): replace unsafe innerHTML in offline retry button with safe DOM APIs,2026-05-17T09:35:02Z,github.com
Pull Request,ci: upgrade dependency-review action to v5 for Node 24 compatibility,2026-05-16T16:09:40Z,github.com
Pull Request,Build preview before Playwright local server and fix waitlist e2e by checking GDPR consent,2026-05-16T15:59:00Z,github.com
Pull Request,feat: add Changelog page route and footer navigation,2026-05-16T14:14:15Z,github.com
Pull Request,Automate Daily PR Audit and Update Review Summary,2026-05-16T15:55:34Z,github.com
Pull Request,chore: silence meta placeholder warning in date injection,2026-05-16T14:01:38Z,github.com
Pull Request,fix: rotate service worker cache version to resolve PR #946 regression,2026-05-17T08:45:11Z,github.com
Issue,fix - safeNavigate › should block backslash-normalised protocol-relative path,2026-05-16T09:17:56Z,github.com
Pull Request,"Add AVIF/WebP logos, harden service worker caching, and stabilize E2E tests",2026-05-17T10:26:05Z,github.com
Issue,fix the service worker regression from PR [#946],2026-05-16T01:22:38Z,github.com
Pull Request,fix: make TypeScript config files valid strict JSON,2026-05-16T14:19:31Z,github.com
Pull Request,docs: add v1.1.0 release notes and update changelog,2026-05-15T13:45:01Z,github.com
Pull Request,fix(csp): allow blob workers for Sentry Replay,2026-05-16T09:49:06Z,github.com
Pull Request,Automated Daily PR Audit System and PR Review Summary,2026-05-15T12:56:45Z,github.com
Pull Request,Fix testimonial section rendering by updating CSS module to match carousel markup,2026-05-16T14:25:07Z,github.com
Pull Request,Reorganize docs: move all root-level markdown files to docs/,2026-05-17T08:20:37Z,github.com
Pull Request,Harden navigation and dynamic property access to address security alerts,2026-05-14T17:10:54Z,github.com
Pull Request,Add new Paperlyte logo to header and footer,2026-05-15T05:54:58Z,github.com
Pull Request,"Daily PR Review Summary - May 14, 2026",2026-05-14T11:44:34Z,github.com
Issue,[CLEANUP] Footer social links — LinkedIn and Discord point to '#' placeholder,2026-05-15T09:24:55Z,github.com
Issue,[TASK] Migrate runtime analytics from GA4/gtag to Plausible,2026-05-15T09:26:00Z,github.com
Issue,[BUG] Sentry Session Replay silently disabled — worker-src 'none' in production CSP,2026-05-17T08:22:42Z,github.com
Pull Request,Add NEWCOMER-GUIDE.md onboarding doc for Paperlyte landing page,2026-05-14T17:17:25Z,github.com
Pull Request,feat: implement service worker for PWA offline support,2026-05-14T15:34:02Z,github.com
Pull Request,feat(security): add safeNavigateExternal and restrict safeNavigate to same-origin,2026-05-14T07:20:31Z,github.com
Pull Request,"fix: address 15 security findings (unpinned action, open redirect, hardcoded creds, XSS, dep vulns)",2026-05-16T09:30:10Z,github.com
Pull Request,docs: add Paperlyte AI Policy,2026-05-16T09:24:12Z,github.com
Pull Request,Automated Daily PR Review and Audit System Implementation,2026-05-13T17:52:13Z,github.com
Commit,Merge pull request #675 from shazzar00ni/claude/audit-ux-copy-7zVaN,2026-05-17T10:18:12Z,github.com
Commit,Merge branch 'main' into claude/audit-ux-copy-7zVaN,2026-05-17T10:17:47Z,github.com
Commit,Merge pull request #887 from shazzar00ni/claude/fix-codacy-pr-comments-ko62W,2026-05-17T10:16:52Z,github.com
Commit,Merge branch 'main' into claude/fix-codacy-pr-comments-ko62W,2026-05-17T10:15:48Z,github.com
Commit,Merge pull request #923 from shazzar00ni/coderabbitai/utg/ade59e9,2026-05-17T08:34:23Z,github.com
